
 
,,,,,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Batt,Win,Win,Win
Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24
30,Abraham Almonte\almonab01,32,ATL,175,.320,88,.255,.182,2.9%,21.7%,14.9%,89.3,41.8%,25.2%,46.8%,21.6%,0.88,33.3%,52.3%,14.4%,-0.1,-0.1%,-1.0
31,Yency Almonte\almonye01,27,COL,3,.000,-143,.000,.000,0.0%,66.7%,0.0%,95.5,100.0%,0.0%,100.0%,0.0%,,0.0%,100.0%,0.0%,0.0,0.0%,-0.6
32,Albert Almora\almoral01,27,NYM,54,.143,-27,.171,.058,0.0%,31.5%,3.7%,90.3,45.7%,17.1%,57.1%,14.3%,1.33,31.4%,54.3%,14.3%,-1.2,-1.0%,-9.8
33,Pete Alonso\alonspe01,26,NYM,637,.377,139,.274,.257,5.8%,19.9%,9.4%,91.0,47.4%,22.8%,39.0%,31.1%,0.64,27.4%,53.0%,19.6%,1.7,1.1%,17.1
34,Jose Altuve\altuvjo01,31,HOU,678,.359,127,.280,.211,4.6%,13.4%,9.7%,86.6,34.9%,23.6%,39.1%,24.6%,0.66,37.1%,52.0%,10.8%,1.5,1.4%,18.1
35,Eddy Alvarez\alvared01,31,MIA,74,.294,72,.244,.141,1.4%,24.3%,5.4%,88.5,37.0%,28.3%,34.8%,30.4%,0.55,30.4%,47.8%,21.7%,-0.4,0.0%,-1.8
36,Jose Alvarez\alvarjo02,32,SFG,5,.348,118,,.000,0.0%,40.0%,40.0%,37.7,0.0%,0.0%,0.0%,0.0%,,100.0%,0.0%,0.0%,0.0,0.0%,-0.1
37,Yordan Álvarez\alvaryo01,24,HOU,598,.369,133,.320,.253,5.5%,24.3%,8.4%,93.0,54.2%,27.6%,37.7%,30.1%,0.61,26.3%,56.5%,17.2%,1.4,1.0%,17.4
38,Adbert Alzolay\alzolad01,26,CHC,33,.089,-77,.111,.032,0.0%,39.4%,3.0%,76.8,5.3%,5.3%,78.9%,0.0%,7.50,5.3%,52.6%,42.1%,-0.7,-0.4%,-7.0
39,Trey Amburgey\amburtr01,26,NYY,4,.224,31,.000,.000,0.0%,50.0%,0.0%,83.8,0.0%,0.0%,100.0%,0.0%,,50.0%,50.0%,0.0%,0.0,0.0%,-0.7
